year;site;phenotype;id;ps_flor;n_ovu;polen_type;max_polen;min_polen
2019;concordia;154;1;0.014;6;grano de polen;16.5;15
2019;concordia;154;2;0.0154;6;grano de polen;18;18
2019;concordia;154;3;0.0166;4;grano de polen;18;16.5
2019;concordia;154;4;0.0168;4;grano de polen;18;12
2019;concordia;154;5;0.0142;5;grano de polen;16.5;15
2019;concordia;154;6;0.0148;5;grano de polen;19.5;15
2019;concordia;154;7;0.0161;5;grano de polen;21;19.5
2019;concordia;154;8;0.0189;4;grano de polen;22.5;19.5
2019;concordia;154;9;0.017;4;grano de polen;16.5;12
2019;concordia;154;10;0.0117;4;grano de polen;18;16.5
2019;concordia;156;1;0.029;4;grano de polen;13.5;12
2019;concordia;156;2;0.0185;5;grano de polen;18;12
2019;concordia;156;3;0.0155;4;grano de polen;13.5;9
2019;concordia;156;4;0.0146;4;grano de polen;18;12
2019;concordia;156;5;0.0159;5;grano de polen;13.5;9
2019;concordia;156;6;0.0165;4;grano de polen;16.5;12
2019;concordia;156;7;0.0177;3;grano de polen;18;13.5
2019;concordia;156;8;0.0141;5;grano de polen;18;16.5
2019;concordia;156;9;0.0112;5;grano de polen;15;12
2019;concordia;156;10;0.0223;4;grano de polen;13.5;13.5
2019;concordia;161;1;0.081;3;grano de polen;18;18
2019;concordia;161;2;0.0119;5;grano de polen;22.5;21
2019;concordia;161;3;0.0133;4;grano de polen;19.5;18
2019;concordia;161;4;0.096;2;grano de polen;19.5;18
2019;concordia;161;5;0.0125;2;grano de polen;22.5;21
2019;concordia;161;6;0.013;3;grano de polen;18;13.5
2019;concordia;161;7;0.017;4;grano de polen;19.5;18
2019;concordia;161;8;0.0159;3;grano de polen;22.5;21
2019;concordia;161;9;0.074;4;grano de polen;21;19.5
2019;concordia;161;10;0.082;2;grano de polen;22.5;19.5
2019;concordia;171;1;0.0123;3;grano de polen;21;19.5
2019;concordia;171;2;0.0165;3;grano de polen;22.5;12
2019;concordia;171;3;0.0169;2;grano de polen;18;16.5
2019;concordia;171;4;0.0145;3;grano de polen;18;18
2019;concordia;171;5;0.0178;2;grano de polen;19.5;13.5
2019;concordia;171;6;0.0135;2;grano de polen;19.5;16.5
2019;concordia;171;7;0.0135;5;grano de polen;21;16.5
2019;concordia;171;8;0.0138;3;grano de polen;21;12
2019;concordia;171;9;0.0135;2;grano de polen;16.5;12
2019;concordia;171;10;0.0145;2;grano de polen;21;12
2019;concordia;174;1;0.0114;6;grano de polen;21;16.5
2019;concordia;174;2;0.0118;3;grano de polen;22.5;19.5
2019;concordia;174;3;0.097;4;grano de polen;22.5;21
2019;concordia;174;4;0.0128;2;grano de polen;22.5;19.5
2019;concordia;174;5;0.0112;4;grano de polen;24;16.5
2019;concordia;174;6;0.087;5;grano de polen;21;16.5
2019;concordia;174;7;0.0131;3;grano de polen;24;15
2019;concordia;174;8;0.0142;3;grano de polen;19.5;18
2019;concordia;174;9;0.0126;3;grano de polen;22.5;18
2019;concordia;174;10;0.0165;6;grano de polen;19.5;18
2019;concordia;175;1;0.077;5;grano de polen;16.5;13.5
2019;concordia;175;2;0.011;5;grano de polen;21;15
2019;concordia;175;3;0.017;5;grano de polen;21;19.5
2019;concordia;175;4;0.0156;3;grano de polen;21;18
2019;concordia;175;5;0.012;5;grano de polen;18;13.5
2019;concordia;175;6;0.083;6;grano de polen;18;15
2019;concordia;175;7;0.0165;5;grano de polen;19.5;15
2019;concordia;175;8;0.0117;5;grano de polen;18;18
2019;concordia;175;9;0.0145;4;grano de polen;18;18
2019;concordia;175;10;0.014;5;grano de polen;18;18
2019;concordia;178;1;0.0179;4;grano de polen;19.5;16.5
2019;concordia;178;2;0.0125;4;grano de polen;19.5;18
2019;concordia;178;3;0.0124;4;grano de polen;19.5;16.5
2019;concordia;178;4;0.089;4;grano de polen;28.5;25.5
2019;concordia;178;5;0.0111;3;grano de polen;15;13.5
2019;concordia;178;6;0.011;4;grano de polen;18;16.5
2019;concordia;178;7;0.0154;3;grano de polen;18;16.5
2019;concordia;178;8;0.0145;2;grano de polen;18;16.5
2019;concordia;178;9;0.0156;3;grano de polen;18;16.5
2019;concordia;178;10;0.083;4;grano de polen;18;13.5
2019;concordia;185;1;0.0187;1;grano de polen;18;18
2019;concordia;185;2;0.0154;3;grano de polen;21;16.5
2019;concordia;185;3;0.0154;5;grano de polen;19.5;18
2019;concordia;185;4;0.0129;2;grano de polen;18;18
2019;concordia;185;5;0.0191;4;grano de polen;22.5;16.5
2019;concordia;185;6;0.0188;2;grano de polen;19.5;18
2019;concordia;185;7;0.0152;0;grano de polen;21;19.5
2019;concordia;185;8;0.0151;4;grano de polen;19.5;13.5
2019;concordia;185;9;0.019;6;grano de polen;19.5;16.5
2019;concordia;185;10;0.0143;3;grano de polen;21;15
2019;concordia;190;1;0.0156;2;grano de polen;18;18
2019;concordia;190;2;0.0111;4;grano de polen;18;16.5
2019;concordia;190;3;0.011;5;grano de polen;22.5;21
2019;concordia;190;4;0.0127;3;grano de polen;16.5;15
2019;concordia;190;5;0.0121;4;grano de polen;19.5;12
2019;concordia;190;6;0.0113;4;grano de polen;19.5;19.5
2019;concordia;190;7;0.01;2;grano de polen;19.5;15
2019;concordia;190;8;0.092;6;grano de polen;19.5;19.5
2019;concordia;190;9;0.0137;4;grano de polen;21;18
2019;concordia;190;10;0.013;4;grano de polen;21;15
2019;concordia;193;1;0.0132;4;grano de polen;18;16.5
2019;concordia;193;2;0.0168;4;grano de polen;15;15
2019;concordia;193;3;0.0114;4;grano de polen;15;13.5
2019;concordia;193;4;0.015;4;grano de polen;16.5;15
2019;concordia;193;5;0.093;4;grano de polen;15;15
2019;concordia;193;6;0.086;5;grano de polen;13.5;12
2019;concordia;193;7;0.011;5;grano de polen;16.5;15
2019;concordia;193;8;0.0147;5;grano de polen;18;16.5
2019;concordia;193;9;0.013;6;grano de polen;16.5;15
2019;concordia;193;10;0.018;3;grano de polen;16.5;12
2019;concordia;197;1;0.062;4;grano de polen;15;13.5
2019;concordia;197;2;0.083;4;grano de polen;18;15
2019;concordia;197;3;0.0119;4;grano de polen;15;13.5
2019;concordia;197;4;0.0155;4;grano de polen;16.5;15
2019;concordia;197;5;0.0146;4;grano de polen;22.5;19.5
2019;concordia;197;6;0.0113;4;grano de polen;12;10.5
2019;concordia;197;7;0.063;2;grano de polen;16.5;15
2019;concordia;197;8;0.089;4;grano de polen;13.5;12
2019;concordia;197;9;0.094;4;grano de polen;18;18
2019;concordia;197;10;0.079;4;grano de polen;18;16.5
2019;concordia;208;1;0.066;6;grano de polen;13.5;9
2019;concordia;208;2;0.013;6;grano de polen;16.5;16.5
2019;concordia;208;3;0.06;5;grano de polen;15;13.5
2019;concordia;208;4;0.015;5;grano de polen;15;15
2019;concordia;208;5;0.075;5;grano de polen;15;13.5
2019;concordia;208;6;0.0116;5;grano de polen;15;15
2019;concordia;208;7;0.0137;5;grano de polen;18;15
2019;concordia;208;8;0.07;4;grano de polen;15;13.5
2019;concordia;208;9;0.097;4;grano de polen;16.5;13.5
2019;concordia;208;10;0.0116;4;grano de polen;12;10.5
2019;palmar;260;1;0.0144;6;grano de polen;19.5;16.5
2019;palmar;260;2;0.0142;5;grano de polen;21;19.5
2019;palmar;260;3;0.0138;4;grano de polen;22.5;21
2019;palmar;260;4;0.0114;5;grano de polen;22.5;21
2019;palmar;260;5;0.0133;6;grano de polen;24;24
2019;palmar;260;6;0.0156;6;grano de polen;21;21
2019;palmar;260;7;0.0165;4;grano de polen;24;24
2019;palmar;260;8;0.0133;4;grano de polen;24;21
2019;palmar;260;9;0.0132;5;grano de polen;27;21
2019;palmar;260;10;0.017;6;grano de polen;28.5;22.5
2019;palmar;261;1;0.0121;5;grano de polen;21;15
2019;palmar;261;2;0.017;3;grano de polen;21;18
2019;palmar;261;3;0.019;6;grano de polen;21;16.5
2019;palmar;261;4;0.0148;5;grano de polen;19.5;18
2019;palmar;261;5;0.0126;5;grano de polen;19.5;18
2019;palmar;261;6;0.012;5;grano de polen;19.5;16.5
2019;palmar;261;7;0.0137;5;grano de polen;16.5;15
2019;palmar;261;8;0.0129;5;grano de polen;19.5;18
2019;palmar;261;9;0.0111;7;grano de polen;21;12
2019;palmar;261;10;0.0135;5;grano de polen;22.5;13.5
2019;palmar;262;1;0.0152;6;grano de polen;25.5;24
2019;palmar;262;2;0.0129;4;grano de polen;24;24
2019;palmar;262;3;0.0147;4;grano de polen;30;28.5
2019;palmar;262;4;0.0165;6;grano de polen;22.5;18
2019;palmar;262;5;0.0138;4;grano de polen;27;25.5
2019;palmar;262;6;0.013;6;grano de polen;25.5;25.5
2019;palmar;262;7;0.0121;3;grano de polen;30;27
2019;palmar;262;8;0.0135;6;grano de polen;4.5;19.5
2019;palmar;262;9;0.0114;6;grano de polen;30;28.5
2019;palmar;262;10;0.0125;6;grano de polen;19.5;18
2019;palmar;263;1;NA;NA;grano de polen;25.5;24
2019;palmar;263;2;NA;NA;grano de polen;30;28.5
2019;palmar;263;3;NA;NA;grano de polen;21;13.5
2019;palmar;263;4;NA;NA;grano de polen;21;19.5
2019;palmar;263;5;NA;NA;grano de polen;19.5;12
2019;palmar;263;6;NA;NA;grano de polen;21;12
2019;palmar;263;7;NA;NA;grano de polen;21;13.5
2019;palmar;263;8;NA;NA;grano de polen;21;16.5
2019;palmar;263;9;NA;NA;grano de polen;18;18
2019;palmar;263;10;NA;NA;grano de polen;25.5;22.5
2019;palmar;268;1;0.0163;5;grano de polen;16.5;15
2019;palmar;268;2;0.016;5;grano de polen;16.5;15
2019;palmar;268;3;0.0146;6;grano de polen;15;15
2019;palmar;268;4;0.0142;6;grano de polen;18;16.5
2019;palmar;268;5;0.0177;8;grano de polen;16.5;16.5
2019;palmar;268;6;0.0155;6;grano de polen;16.5;15
2019;palmar;268;7;0.0176;4;grano de polen;15;15
2019;palmar;268;8;0.0143;6;grano de polen;16.5;15
2019;palmar;268;9;0.0155;5;grano de polen;18;16.5
2019;palmar;268;10;0.0136;6;grano de polen;16.5;15
2019;palmar;271;1;0.0129;6;grano de polen;21;19.5
2019;palmar;271;2;0.0119;5;grano de polen;16.5;15
2019;palmar;271;3;0.0127;6;grano de polen;21;15
2019;palmar;271;4;0.0138;7;grano de polen;25.5;22.5
2019;palmar;271;5;0.095;6;grano de polen;22.5;19.5
2019;palmar;271;6;0.0131;4;grano de polen;16.5;15
2019;palmar;271;7;0.0127;4;grano de polen;15;15
2019;palmar;271;8;0.0129;4;grano de polen;18;18
2019;palmar;271;9;0.0126;4;grano de polen;19.5;13.5
2019;palmar;271;10;0.0131;6;grano de polen;28.5;24
2019;palmar;272;1;0.0157;4;grano de polen;19.5;18
2019;palmar;272;2;0.0158;4;grano de polen;19.5;18
2019;palmar;272;3;0.0147;6;grano de polen;19.5;15
2019;palmar;272;4;0.016;6;grano de polen;16.5;15
2019;palmar;272;5;0.014;4;grano de polen;19.5;16.5
2019;palmar;272;6;0.0161;4;grano de polen;21;18
2019;palmar;272;7;0.0133;6;grano de polen;18;18
2019;palmar;272;8;0.0113;6;grano de polen;21;19.5
2019;palmar;272;9;0.0147;7;grano de polen;18;16.5
2019;palmar;272;10;0.0127;6;grano de polen;21;19.5
2019;palmar;274;1;0.0139;4;grano de polen;18;16.5
2019;palmar;274;2;0.0153;4;grano de polen;18;16.5
2019;palmar;274;3;0.018;5;grano de polen;24;13.5
2019;palmar;274;4;0.0161;4;grano de polen;21;15
2019;palmar;274;5;0.0127;4;grano de polen;22.5;18
2019;palmar;274;6;0.0114;5;grano de polen;22.5;13.5
2019;palmar;274;7;0.0126;4;grano de polen;21;19.5
2019;palmar;274;8;0.018;6;grano de polen;25.5;15
2019;palmar;274;9;0.0134;5;grano de polen;22.5;15
2019;palmar;274;10;0.011;5;grano de polen;21;13.5
2019;palmar;276;1;0.0114;8;grano de polen;21;18
2019;palmar;276;2;0.0131;7;grano de polen;24;22.5
2019;palmar;276;3;0.0117;7;grano de polen;24;22.5
2019;palmar;276;4;0.0121;4;grano de polen;28.5;27
2019;palmar;276;5;0.0148;4;grano de polen;22.5;21
2019;palmar;276;6;0.0138;5;grano de polen;24;22.5
2019;palmar;276;7;0.015;5;grano de polen;18;16.5
2019;palmar;276;8;0.0119;6;grano de polen;28.5;18
2019;palmar;276;9;0.0115;5;grano de polen;22.5;18
2019;palmar;276;10;0.0131;7;grano de polen;21;21
2019;palmar;280;1;0.011;2;grano de polen;21;18
2019;palmar;280;2;0.0151;2;grano de polen;19.5;15
2019;palmar;280;3;0.0136;3;grano de polen;18;15
2019;palmar;280;4;0.0124;1;grano de polen;22.5;19.5
2019;palmar;280;5;0.0138;4;grano de polen;21;10.5
2019;palmar;280;6;0.0129;4;grano de polen;21;12
2019;palmar;280;7;0.01;3;grano de polen;22.5;19.5
2019;palmar;280;8;0.083;3;grano de polen;21;21
2019;palmar;280;9;0.094;4;grano de polen;19.5;12
2019;palmar;280;10;0.0129;3;grano de polen;22.5;16.5
2019;palmar;281;1;0.097;4;grano de polen;21;19.5
2019;palmar;281;2;0.093;4;grano de polen;21;16.5
2019;palmar;281;3;0.0133;4;grano de polen;16.5;15
2019;palmar;281;4;0.09;3;grano de polen;21;18
2019;palmar;281;5;0.015;4;grano de polen;15;10.5
2019;palmar;281;6;0.092;6;grano de polen;22.5;12
2019;palmar;281;7;0.0119;5;grano de polen;21;19.5
2019;palmar;281;8;0.096;3;grano de polen;21;13.5
2019;palmar;281;9;0.019;4;grano de polen;21;13.5
2019;palmar;281;10;0.0144;6;grano de polen;18;18
2019;palmar;284;1;0.0145;3;grano de polen;15;15
2019;palmar;284;2;0.0171;4;grano de polen;18;18
2019;palmar;284;3;0.0137;6;grano de polen;21;19.5
2019;palmar;284;4;0.0134;4;grano de polen;16.5;15
2019;palmar;284;5;0.0147;5;grano de polen;18;18
2019;palmar;284;6;0.0148;6;grano de polen;18;16.5
2019;palmar;284;7;0.0135;2;grano de polen;22.5;19.5
2019;palmar;284;8;0.093;1;grano de polen;18;16.5
2019;palmar;284;9;0.0136;3;grano de polen;19.5;19.5
2019;palmar;284;10;0.0162;6;grano de polen;21;19.5
2019;palmar;285;1;0.0153;6;grano de polen;22.5;22.5
2019;palmar;285;2;0.0118;8;grano de polen;21;18
2019;palmar;285;3;0.015;7;grano de polen;21;16.5
2019;palmar;285;4;0.011;10;grano de polen;21;15
2019;palmar;285;5;0.0114;6;grano de polen;19.5;19.5
2019;palmar;285;6;0.0119;6;grano de polen;22.5;16.5
2019;palmar;285;7;0.0142;3;grano de polen;21;13.5
2019;palmar;285;8;0.012;4;grano de polen;21;19.5
2019;palmar;285;9;0.0113;6;grano de polen;18;16.5
2019;palmar;285;10;0.0128;6;grano de polen;21;15
2019;palmar;286;1;0.093;3;grano de polen;22.5;22.5
2019;palmar;286;2;0.019;6;grano de polen;22.5;21
2019;palmar;286;3;0.0123;5;grano de polen;19.5;18
2019;palmar;286;4;0.0126;6;grano de polen;22.5;22.5
2019;palmar;286;5;0.098;5;grano de polen;18;15
2019;palmar;286;6;0.0134;5;grano de polen;25.5;24
2019;palmar;286;7;0.012;4;grano de polen;22.5;22.5
2019;palmar;286;8;0.0111;5;grano de polen;22.5;21
2019;palmar;286;9;0.0115;3;grano de polen;19.5;18
2019;palmar;286;10;0.098;6;grano de polen;24;22.5
2019;palmar;287;1;0.0157;6;grano de polen;21;16.5
2019;palmar;287;2;0.0183;7;grano de polen;22.5;22.5
2019;palmar;287;3;0.0143;4;grano de polen;16.5;16.5
2019;palmar;287;4;0.0167;6;grano de polen;15;15
2019;palmar;287;5;0.018;6;grano de polen;21;19.5
2019;palmar;287;6;0.0165;7;grano de polen;22.5;22.5
2019;palmar;287;7;0.0157;5;grano de polen;24;22.5
2019;palmar;287;8;0.0176;6;grano de polen;27;15
2019;palmar;287;9;0.0138;5;grano de polen;25.5;18
2019;palmar;287;10;0.0164;8;grano de polen;27;24
2019;palmar;288;1;0.017;1;grano de polen;16.5;16.5
2019;palmar;288;2;0.028;3;grano de polen;19.5;16.5
2019;palmar;288;3;0.0155;4;grano de polen;22.5;13.5
2019;palmar;288;4;0.0181;6;grano de polen;22.5;13.5
2019;palmar;288;5;0.0189;5;grano de polen;19.5;16.5
2019;palmar;288;6;0.025;5;grano de polen;19.5;18
2019;palmar;288;7;0.0149;6;grano de polen;22.5;21
2019;palmar;288;8;0.0142;6;grano de polen;19.5;15
2019;palmar;288;9;0.0179;7;grano de polen;25.5;15
2019;palmar;288;10;0.0155;6;grano de polen;21;16.5
2019;gualeguaychu;305;1;0.022;6;grano de polen;19.5;19.5
2019;gualeguaychu;305;2;0.0181;7;grano de polen;24;22.5
2019;gualeguaychu;305;3;0.0188;2;grano de polen;19.5;18
2019;gualeguaychu;305;4;0.0188;6;grano de polen;22.5;13.5
2019;gualeguaychu;305;5;0.027;5;grano de polen;16.5;15
2019;gualeguaychu;305;6;0.0183;0;grano de polen;21;19.5
2019;gualeguaychu;305;7;0.021;5;grano de polen;21;21
2019;gualeguaychu;305;8;0.028;3;grano de polen;18;18
2019;gualeguaychu;305;9;0.0177;6;grano de polen;24;16.5
2019;gualeguaychu;305;10;0.0152;0;grano de polen;22.5;19.5
2019;gualeguaychu;306;1;0.076;4;grano de polen;16.5;19.5
2019;gualeguaychu;306;2;0.088;4;grano de polen;24;18
2019;gualeguaychu;306;3;0.084;4;grano de polen;22.5;21
2019;gualeguaychu;306;4;0.073;3;grano de polen;19.5;19.5
2019;gualeguaychu;306;5;0.076;5;grano de polen;19.5;18
2019;gualeguaychu;306;6;0.011;3;grano de polen;21;18
2019;gualeguaychu;306;7;0.097;5;grano de polen;18;15
2019;gualeguaychu;306;8;0.082;6;grano de polen;16.5;15
2019;gualeguaychu;306;9;0.078;5;grano de polen;18;13.5
2019;gualeguaychu;306;10;0.061;6;grano de polen;19.5;18
2019;gualeguaychu;321;1;0.016;4;grano de polen;34.5;33
2019;gualeguaychu;321;2;0.0141;6;grano de polen;30;28.5
2019;gualeguaychu;321;3;0.0166;5;grano de polen;30;28.5
2019;gualeguaychu;321;4;0.0192;1;grano de polen;31.5;30
2019;gualeguaychu;321;5;0.0151;9;grano de polen;27;25.5
2019;gualeguaychu;321;6;0.014;5;grano de polen;16.5;16.5
2019;gualeguaychu;321;7;0.0145;3;grano de polen;24;22.5
2019;gualeguaychu;321;8;0.0161;6;grano de polen;22.5;21
2019;gualeguaychu;321;9;0.0134;4;grano de polen;24;22.5
2019;gualeguaychu;321;10;0.0125;4;grano de polen;19.5;18
2019;gualeguaychu;324;1;0.023;6;grano de polen;19.5;18
2019;gualeguaychu;324;2;0.012;4;grano de polen;18;12
2019;gualeguaychu;324;3;0.0189;7;grano de polen;18;13.5
2019;gualeguaychu;324;4;0.0116;0;grano de polen;16.5;16.5
2019;gualeguaychu;324;5;0.0194;5;grano de polen;16.5;16.5
2019;gualeguaychu;324;6;0.0179;2;grano de polen;16.5;12
2019;gualeguaychu;324;7;0.011;4;grano de polen;19.5;16.5
2019;gualeguaychu;324;8;0.094;5;grano de polen;16.5;16.5
2019;gualeguaychu;324;9;0.0124;0;grano de polen;18;15
2019;gualeguaychu;324;10;0.0123;6;grano de polen;18;18
2019;gualeguaychu;325;1;0.018;5;grano de polen;28.5;27
2019;gualeguaychu;325;2;0.021;0;grano de polen;21;16.5
